CMDLINE python3 predict.py
MEM 1.183594 1661857464.6702
MEM 66.246094 1661857464.7705
MEM 98.136719 1661857464.8707
MEM 105.984375 1661857464.9710
MEM 118.921875 1661857465.0713
MEM 122.937500 1661857465.1715
MEM 128.058594 1661857465.2717
MEM 129.769531 1661857465.3720
MEM 144.777344 1661857465.4722
MEM 151.347656 1661857465.5725
MEM 153.750000 1661857465.6728
MEM 156.386719 1661857465.7730
MEM 233.226562 1661857465.8733
MEM 246.347656 1661857465.9735
MEM 339.988281 1661857466.0737
MEM 213.242188 1661857466.1740
