CMDLINE python3 predict.py
MEM 5.125000 1661823552.8023
MEM 58.535156 1661823552.9026
MEM 101.410156 1661823553.0028
MEM 108.734375 1661823553.1030
MEM 118.394531 1661823553.2033
MEM 123.703125 1661823553.3035
MEM 127.285156 1661823553.4038
MEM 131.226562 1661823553.5040
MEM 137.476562 1661823553.6043
MEM 149.003906 1661823553.7048
MEM 149.003906 1661823553.8051
MEM 153.937500 1661823553.9054
MEM 158.679688 1661823554.0056
MEM 161.296875 1661823554.1059
