CMDLINE python3 predict.py
MEM 1.117188 1661907707.3668
MEM 87.890625 1661907707.4673
MEM 119.546875 1661907707.5675
MEM 145.300781 1661907707.6677
MEM 194.285156 1661907707.7680
MEM 281.941406 1661907707.8682
MEM 371.917969 1661907707.9685
MEM 379.652344 1661907708.0688
MEM 379.652344 1661907708.1690
MEM 547.781250 1661907708.2693
MEM 617.992188 1661907708.3695
MEM 259.027344 1661907708.4698
