CMDLINE graphene-direct ./pytorch predict.py
MEM 0.441406 1661843345.2006
MEM 13.882812 1661843345.3017
MEM 16.671875 1661843345.4021
MEM 20.125000 1661843345.5028
MEM 65.050781 1661843345.6039
MEM 101.781250 1661843345.7042
MEM 115.773438 1661843345.8045
MEM 123.265625 1661843345.9048
MEM 132.042969 1661843346.0053
MEM 139.070312 1661843346.1055
MEM 156.871094 1661843346.2058
MEM 168.480469 1661843346.3065
MEM 206.304688 1661843346.4076
MEM 298.085938 1661843346.5084
MEM 335.671875 1661843346.6090
MEM 186.066406 1661843346.7093
